Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;6634254;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1512032653,15
Governo do Estado do Mato Grosso do Sul;50;MS;2587269;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;822511168,69
Governo do Estado de Goiás;52;GO;6434048;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1488577465,12
Governo do Estado do Espírito Santo;32;ES;3839366;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;968061889,78
Governo do Estado do Rio de Janeiro;33;RJ;16369179;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;6890182908,6
Governo do Estado de São Paulo;35;SP;43663669;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;9272491356,52
Governo do Estado do Rio Grande do Sul;43;RS;11164043;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2480838680,44
Governo do Estado da Bahia;29;BA;15044137;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2887395742,44
Governo do Estado do Mato Grosso;51;MT;3182113;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1098790486,07
Governo do Estado de Alagoas;27;AL;3300935;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;951701621,42
Governo do Estado de Minas Gerais;31;MG;20593356;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;5776378842,84
Governo do Estado do Paraná;41;PR;10997465;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2185218137,02
Governo do Estado de Pernambuco;26;PE;9208550;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1989708292,12
Governo do Estado do Amazonas;13;AM;3807921;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1086573523,77
Governo do Estado do Maranhão;21;MA;6794301;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;851518747,72
Governo do Distrito Federal;53;DF;2789761;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;584428653,3
Governo do Estado do Tocantins;17;TO;1478164;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;581578607,87
Governo do Estado do Acre;12;AC;776463;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;371734932,17
Governo do Estado de Sergipe;28;SE;2195662;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;700049749,24
Governo do Estado do Amapá;16;AP;734996;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;42746499,4
Governo do Estado do Ceará;23;CE;8778576;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1402582124,01
Governo do Estado de Rondônia;11;RO;1728214;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;771392328,71
Governo do Estado do Pará;15;PA;7969654;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1594131861,02
Governo do Estado do Piauí;22;PI;3184166;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;77283616,16
Governo do Estado da Paraíba;25;PB;3914421;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;835574663,8
Governo do Estado do Rio Grande do Norte;24;RN;3373959;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;695656812,46
Governo do Estado de Roraima;14;RR;488072;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;176842285,44
